EventCount, EventType, OldIDs, NewID, Time, NewVol, X, Y, Z, U, V, W, L1, L2, L3
48, Split,1,41, 1.25716E+01,1.0656717235974519E-03,  9.686472998491E+00,  5.671913629966E-01, -9.384580993934E-01,  9.971945170102E-01,  6.441534815348E-02, -1.090660459530E-02,  1.031768055992E+03,  1.904274742455E+02,  8.901668267259E+01
49, Split,1,42, 1.26094E+01,6.5114788269942455E-04,  7.982841569212E+00, -1.036884230755E+00, -1.185372201077E+00,  8.566304751682E-02,  7.422846792359E-02,  6.871747748995E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
50, Split,22,43, 1.26286E+01,4.5432935413289169E-04,  1.030848412251E+01, -9.123770777998E-01, -1.639832478999E-01,  9.405922438297E-01, -8.278855776376E-02,  8.722133467557E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
51, Split,22,44, 1.26286E+01,4.3381437626961744E-08,  1.028906250000E+01, -9.140625000000E-01, -3.515625000000E-01,  6.113865368889E-01, -8.179724590988E-02, -1.324635957262E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
52, Split,42,45, 1.26871E+01,1.5175180183835177E-07,  7.839952811816E+00, -9.971473360093E-01, -1.242187500000E+00, -4.264546256980E-03,  1.215139369096E-01,  1.268179749478E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
53, Split,42,46, 1.26871E+01,6.5096030899396259E-04,  7.992745053074E+00, -1.031361122491E+00, -1.179345370931E+00,  8.049580086786E-02,  7.682921648443E-02,  7.378944170112E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
54, Split,42,47, 1.26871E+01,3.5821001335883044E-08,  7.841804812982E+00, -1.148437500000E+00, -1.148437500000E+00,  7.780990032222E-02,  8.560117162945E-02,  1.165390905589E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
55, Split,1,48, 1.27653E+01,8.4124999089562258E-04,  9.223873102375E+00,  6.227171655304E-01, -7.585180255157E-01,  5.993311392590E-01, -8.070537933777E-02,  2.018818536980E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
56, Merge,1;48;,1, 1.28045E+01,1.0021297866827691E+01
57, Split,43,49, 1.28045E+01,4.5428724219016229E-04,  1.047494222545E+01, -9.325567393520E-01, -1.409729828773E-01,  8.879970534347E-01, -9.341785463560E-02,  7.282696125265E-02,  1.764102831471E+03,  2.512626731150E+02,  1.345121455025E+02
58, Split,43,50, 1.28045E+01,4.2148877681845931E-08,  1.047656250000E+01, -9.140625000000E-01, -3.046875000000E-01,  7.263447163360E-01,  5.388203203696E-03, -9.785963977844E-02,  1.832602732553E+05,  2.654941441674E+04,  1.387854510500E+04
59, Split,29,51, 1.28242E+01,2.9409877378935786E-05,  7.763935860365E+00, -3.424764249298E-01, -1.346995503357E+00, -3.079515285654E-02,  1.079102322911E-02,  4.576398687126E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
60, Split,29,52, 1.28242E+01,1.1232562869846447E-04,  7.831109563536E+00, -1.771029097677E-01, -1.404819341251E+00,  8.494037504576E-02,  2.105699922996E-01,  3.901579126462E-03,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
61, Merge,1;34;,1, 1.28845E+01,1.0083951305371365E+01
62, Merge,44;50;,53, 1.29049E+01,8.5530316201792398E-08
63, Merge,26;53;,54, 1.29252E+01,1.6646140550407657E-07
64, Split,1,55, 1.29252E+01,8.3992181904906402E-04,  9.322961021011E+00,  6.088311126536E-01, -7.238774890792E-01,  6.256554029246E-01, -7.965447250298E-02,  2.122759231454E-01,  6.297538444109E-02,  1.057237776068E-03,  5.613784420978E-10
65, Split,1,56, 1.29656E+01,1.4151702361045945E-08,  9.398437500000E+00, -1.429687500000E+00, -6.328125000000E-01, -2.960154036384E-02, -8.182340303609E-02,  1.133166678531E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
66, Split,1,57, 1.29656E+01,1.7594735489637997E-04,  9.894341686602E+00,  1.136395967081E+00, -7.208449012825E-02,  7.906846082775E-01,  3.573121942678E-02,  1.252903579764E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
67, Merge,1;56;,1, 1.30253E+01,1.0192964762818811E+01
68, Split,1,58, 1.30253E+01,4.6996095789777285E-08,  8.251716682000E+00, -1.640625000000E-01,  1.429687500000E+00,  2.099945740107E-02,  1.210636944978E-01, -1.360702602930E-01,  1.305098338570E+05,  4.453075545876E+04,  1.348422355475E+04
69, Split,49,59, 1.30253E+01,4.5428729261377072E-04,  1.067115762800E+01, -9.603950074284E-01, -1.183067928344E-01,  8.416165714067E-01, -9.743142773306E-02,  3.703074436971E-02,  1.814123965742E+03,  2.575649515158E+02,  1.360080234408E+02
70, Split,49,60, 1.30253E+01,1.3723556658062673E-13,  1.071093750000E+01, -9.140625000000E-01, -2.578125000000E-01,  8.528934792943E-01,  1.166184739750E-02, -7.541197873099E-02,  1.049157236129E+08,  1.461886413597E+07,  7.782074586187E+06
71, Merge,1;57;,1, 1.30454E+01,1.0208851605121515E+01
72, Split,1,61, 1.30454E+01,4.5813996309188065E-07,  8.413052582228E+00, -8.671875000000E-01, -1.289062500000E+00, -5.298152836698E-03,  1.316084940752E-01,  8.151551856008E-02,  4.271422807351E+04,  1.532365444003E+04,  4.225450547848E+03
73, Split,1,62, 1.31445E+01,1.0986676977269990E-11,  8.789062500000E+00,  3.984375000000E-01,  1.476562500000E+00,  2.012530935420E-01, -4.119231122871E-02, -5.831936814051E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
74, Merge,1;62;,1, 1.31641E+01,1.0301568855215908E+01
75, Merge,1;36;,1, 1.31838E+01,1.0317045753306996E+01
76, Merge,27;54;,63, 1.32033E+01,1.6780627765628463E-07
77, Split,1,64, 1.32033E+01,8.6044827235752858E-06,  8.616670861848E+00, -8.751310405408E-01, -1.241653863249E+00,  4.942206849034E-02,  7.084055792846E-03,  8.375531708641E-02,  6.645738888691E-01,  1.228907008998E-03,  3.960959441930E-04
78, Split,1,65, 1.32033E+01,1.4553245125579311E-08,  9.914062500000E+00, -1.171875000000E-01, -1.126265301176E+00,  8.688807586515E-01, -1.615711705016E-01, -2.306980662073E-02,  9.592325443038E+00,  2.375803413574E-02,  6.854883545652E-03
79, Merge,1;65;,1, 1.32230E+01,1.0347100215601422E+01
80, Split,1,66, 1.32230E+01,1.4429447492863968E-04,  9.042221237200E+00,  5.718895763568E-01, -4.134297608969E-01,  6.005997994786E-01, -3.259372004706E-01, -8.244642783049E-02,  2.575779358814E+03,  4.285463386709E+02,  2.490038358498E+02
